|month_year|earn|burn|fl_earn|fl_burn|cc_earn|cc_burn|ot_earn|ot_burn|year
0|1997-10-01|26128141|182627285|4728764.308515209|9992717.464819375|6629266.402625704|183.69377119241233|1042386.2435623469|7661.789330801802|1997
1|1997-11-01|27907722|358249709|4587637.317079354|10146018.71809762|6223654.180794781|185.11840529667865|1731250.660485786|7302.2810397142175|1997
2|1997-12-01|24895539|184832351|4842589.166972213|9939513.152541876|6436922.0283010695|187.92766672054745|1369721.0027208843|7090.591307312946|1997
3|1998-01-01|25054417|173985511|4755664.08461247|12628681.455847405|6047444.756523586|192.34702707627838|1553982.516919143|7211.904603713479|1998
4|1998-02-01|31342791|172336629|4754899.093004878|9010696.41538721|7028265.856516041|180.72439059219482|1384599.2913644903|6697.27931481036|1998
5|1998-03-01|27197374|185815799|4766197.953215548|10105025.11553528|6505821.659977623|186.92154626598602|1399199.6781587524|7443.020990316402|1998
6|1998-04-01|27702850|375104135|5174390.359815739|12477437.146177048|7081774.415057298|199.89805270329973|1777255.1449597857|7546.19748571857|1998
7|1998-05-01|25470599|183718508|4604856.088918483|10452329.514835592|6689803.593223655|199.6916734056494|1729029.1618267598|7614.12593539743|1998
8|1998-06-01|30075956|206976190|5442563.78410782|12929512.497047769|7601002.298849431|209.15554025425533|1664879.0977081915|7755.466895896672|1998
9|1998-07-01|31736813|205232576|5191740.621637829|13355492.823408935|7792062.976143191|216.93831064503217|2418267.658920582|8280.481288361854|1998
10|1998-08-01|27576117|367499753|4683151.12116784|11749663.362383377|7446723.612949951|219.6349474454411|1961413.9274076144|7251.4886689038085|1998
11|1998-09-01|27970800|183208491|4602534.829474906|11828009.94484884|6930513.2680678945|195.32139617957029|1658563.9243253686|6770.835407777206|1998
12|1998-10-01|31912020|203282332|5034254.53935059|12717256.34130937|7774711.316963076|235.02409896386237|1921493.9894840955|7933.963367464187|1998
13|1998-11-01|40198047|211747838|5293928.570206007|12834267.323761513|7364280.581576168|233.7016802571754|2326530.21658087|8502.987004553974|1998
14|1998-12-01|30589306|210934112|5008061.471993173|12984687.479470732|7106467.641571414|220.39695194996284|1624077.6342746725|7968.307107017721|1998
15|1999-01-01|35193439|406047290|6506527.566562459|11776150.770145988|8358219.919626342|227.3823884499639|1862083.113073867|8550.391908380863|1999
16|1999-02-01|29823032|381974804|5161156.31981555|12194427.619695283|6637685.964240996|234.8302380149098|1429391.806527868|7356.931622491581|1999
17|1999-03-01|35111460|241609435|6368075.100629094|12718822.035838708|8909782.181406857|258.14417450138774|2644045.405336589|8859.184502405527|1999
18|1999-04-01|30412102|235464263|6155670.800293438|13264667.610489238|8410021.702630254|251.95326663269492|2119719.7302382286|7864.235348846827|1999
19|1999-05-01|28417849|205029773|5362478.77462666|12602214.508585807|6986439.067933717|216.90959558462194|2382930.3605804048|7440.802878319818|1999
20|1999-06-01|30456247|211879471|5487278.898451064|12324857.113766978|7869363.339802164|243.637511852703|2072340.1989952535|7730.872364426264|1999
21|1999-07-01|29232125|205607911|5260541.190604225|13916651.03973473|7352346.495650267|221.3851921954912|1769514.719849981|7715.462329837552|1999
22|1999-08-01|32285071|221057441|5128802.6790230125|11736138.968426293|7440440.806760535|212.82616757040543|1719544.7610206804|7371.073446400771|1999
23|1999-09-01|30851594|210865357|5338713.937319558|12520494.893622082|7028323.250119118|224.40406684494218|2361581.616811403|7669.408510780582|1999
24|1999-10-01|38011109|235922323|6499116.159935596|16371091.039400302|7883428.906565383|275.8382984304778|2433030.3625242906|8683.522752363122|1999
25|1999-11-01|34818437|408122742|5722544.534971635|12568292.358205445|7812384.633011516|236.1603596425337|2414222.7841207045|8594.297958852509|1999
26|1999-12-01|36978381|244736029|5584031.087927203|13064504.586691128|8163662.128784305|243.57484137151317|2182717.195202623|7759.31727783916|1999
27|2000-01-01|32733214|233332515|6061264.752454266|11546965.960041609|7736201.800931393|247.28586963484383|1932466.3629459587|7475.583894523854|2000
28|2000-02-01|33617877|225619479|5347523.405111057|14371367.681250352|7933020.813728043|240.75790140782738|2476482.500998167|8358.634756462421|2000
29|2000-03-01|37322372|244593329|5898177.965119877|17034848.17024371|9072092.575540794|257.47682410880265|2685658.485209195|8400.667630861091|2000
30|2000-04-01|38469450|435271064|5942869.4954801025|15011732.545502065|9096186.783478826|289.4323334588319|2321797.68119055|7876.372163293526|2000
31|2000-05-01|40186686|249484894|5815858.823004196|15994495.917116553|8987177.125365382|266.096100792712|2718139.054938051|8527.018755807305|2000
32|2000-06-01|36195417|451566796|6153893.802275601|13679227.337826557|9421965.221249394|270.1235420745621|2905084.4947920395|9063.673761142247|2000
33|2000-07-01|37697920|231250583|5638580.660350465|12017398.910830604|8639115.35367979|263.35220962697684|2967803.924709507|7786.684132754078|2000
34|2000-08-01|38103949|256578782|6072232.998016175|14462858.14548155|8852890.89534931|256.2951912524285|2115674.133324426|8265.1556606679|2000
35|2000-09-01|41695636|287495232|6087983.504176351|15132166.830345154|10104771.679517822|271.93649087268886|2422167.924457231|9646.209780519024|2000
36|2000-10-01|41081371|241640180|5920497.901700315|14110203.668290952|8828348.959727673|258.3734685548121|2660967.8776767|8229.14651320503|2000
37|2000-11-01|38824375|427135883|6163579.469204533|13382196.409171026|9315463.498115463|270.79931571463766|3177184.9840923264|7775.940416265304|2000
38|2000-12-01|37307521|257706076|6972277.354591545|15159334.79664578|8648468.593913741|288.0487150364086|2292084.1363882837|9360.976479503825|2000
39|2001-01-01|41739205|255356302|5759287.107305614|16569355.51723602|9784087.297275864|279.14881709759965|3657185.8561060335|8214.836634391138|2001
40|2001-02-01|37834991|253102091|6034976.996239323|17437544.288513888|9284338.97077374|300.5071946295518|2762838.652692523|7913.704218951669|2001
41|2001-03-01|44409663|446382408|6122391.556666374|14845885.360963501|8929091.275271492|274.11736499866987|2705898.6813338194|7824.472260099408|2001
42|2001-04-01|36041131|256249415|6041216.865391789|13634440.314181712|8777664.282467572|285.5751190510172|2118494.135539294|8475.218878457643|2001
43|2001-05-01|37952965|258576142|6193559.448236116|16946388.548999123|9921108.558480656|298.3885619487823|3069778.4514523484|8928.102133157727|2001
44|2001-06-01|43980265|278257175|8165978.172315628|17479251.248208135|8925598.166513551|1720.8115859404998|2527689.2852063365|20547.50121923612|2001
45|2001-07-01|44265413|293595828|7950937.155677131|16808266.963012658|10129735.888474496|1721.8933166486593|2629390.799171964|18951.37677926537|2001
46|2001-08-01|41857243|466499069|6478719.894879243|16468747.306483045|9637630.088372285|327.1027413020366|3778443.2168221907|9066.528542573387|2001
47|2001-09-01|42599863|302383516|10053392.479302382|19090465.279945523|9456303.227315854|2088.9696484476335|3208594.591403991|23163.12093235272|2001
48|2001-10-01|49197728|306254829|7823850.5235098675|16195836.225302497|10636496.828119338|1631.6229712456334|3135951.4569245055|22368.31821023773|2001
49|2001-11-01|51642795|316726951|7123902.2363290815|19087473.37169795|10306230.387552382|2710.677247638201|3221097.5385258724|25488.843515404184|2001
50|2001-12-01|51496472|294341805|8650960.28400047|18347452.36631986|10189641.22521355|2695.233298377623|2719341.5226131016|24825.518263289916|2001
51|2002-01-01|46565474|328360367|6895867.786281086|20758223.414949134|10514352.238865327|3524.348480292421|3957016.2511154744|30358.175688561096|2002
52|2002-02-01|42248897|303305760|7715158.652278844|15346228.871451516|10627914.54106599|1613.464360468536|2953335.418721419|18242.88144361915|2002
53|2002-03-01|49508982|324548566|8096973.507909845|18931853.717823498|10537822.259351213|2725.473841201404|2872203.6007284503|25195.28962157929|2002
54|2002-04-01|44663334|493260566|8956567.472472556|18686341.532595452|10454033.462169139|3023.8451956826807|3274766.0734471474|28507.80742809708|2002
55|2002-05-01|48607982|348620516|7322349.8859080095|21142898.398392722|9731165.41923103|4016.060579997341|2655193.3796007745|34167.06779846001|2002
56|2002-06-01|51222440|346758119|8370979.786670173|24624750.016757242|11061957.851069728|3526.7429291186627|3221422.934992769|30212.657849267274|2002
57|2002-07-01|51008874|323505705|7545420.554260311|17796688.694205027|9538692.19089963|2825.9834285187203|3326579.4635698455|25191.375667265216|2002
58|2002-08-01|51588592|353081316|8833657.37097128|23733336.341524158|10232442.145154005|2402.95936799513|4132948.403952697|25462.28090928722|2002
59|2002-09-01|63012045|316505328|8195837.077736326|20825955.13962201|10676238.595636584|2080.3210055810937|2482526.5911184987|20838.080405155582|2002
60|2002-10-01|52714605|326208469|7483187.07352489|22893375.594252765|10955630.757694837|2661.3784590281084|3287167.144818888|26240.355889183582|2002
61|2002-11-01|52634421|293944912|9046891.902241252|16993714.070331655|10529586.801680548|1960.8934413751717|3040224.1633241484|20216.483770434195|2002
62|2002-12-01|49707151|358682687|7803924.3014130555|18414483.59036894|10454746.817407778|3077.451961526521|3669464.445750703|26428.954132026738|2002
63|2003-01-01|49827474|312077900|8518969.455196738|26564829.1741245|10795918.60973779|3552.8179013430954|2460795.845862751|30125.165895667647|2003
